Header	Paragraphs
What are scams and how do I make sure I'm not scammed?	"['Be wary of scammers! They come in all shapes and sizes.', 'Don’t let anyone borrow your items; oftentimes, they won’t give it back, no matter how ardently they swear they will. We don’t have any way of verifying that an item was meant to be returned, or recovering borrowed items. All trades are final. If you do want to keep your item… Hold on to it!', 'If someone is offering free gold or items, don’t fall for it! This is an easy and terribly common way for people to gain access to your account. Sometimes, you may be sent to web pages advertising free gold, which ask for your username, password, and email address. Invariably, this information will be used to enter your account and trade out all your hard-earned clothes and gold.', 'The only currency to be used in Highrise is gold: this means no cash. If you sell for IRL money, or advertise your kik or Paypal on your profile, your account is subject to an ban. Just keep your transactions limited to virtual currency and in-app channels to avoid a ban!', ""If you see someone advertising free gold or selling for cash, report them! Head to their profile page and tap the ellipses in the upper right to report. You can also inform a moderator and we'll look into it; we really appreciate your help in keeping the marketplace clean!""]"
Why did my items disappear after my trade was canceled?	"[""If your items suddenly disappear from your inventory after the trade was canceled, don't worry! The items are still there in your account. When this happens, you'll have to log out of your account and log back in and they'll be right there in your inventory, as shiny as ever!""]"
What is the Market?	"['Go to Shop, and click Market on the top left-hand corner. Here is where you can begin to shop around or start listing your own inventory extras.', '', ""Once you've opened the Black Market menu, tap on the  in the upper right to list your items."", ""Select the item you'd like to list and set a price. Each type of rarity will require a different minimum price:"", '', 'Common, Uncommon, Rare: 150G', 'Epic: 500G', 'Legendary: 2,000G', '', 'On the ""List an Item"" screen, you\'ll see a few key bits of info: the current number of listings; the floor price (the minimum price at which you can list) and average price (determined by the typical rates at which that item has been selling). This info is here to give you a better idea of how much your particular item is worth, along with how popular or rare it might be.', '', 'You can check out your listings and toggle through the filters for Active or Sold listings at any time by tapping on the My Listings tab at the top of the main Market Menu.', '', 'After you make a sale, return to the My Listings tab and toggle the Sold filter to collect your Gold.', ""When you open the Market, you'll see a page full of newly listed goods. Tap on an item that catches your fancy to open a menu presenting users who currently have that item for sale, and then peruse the listings to find the best deals!"", 'Each item will display number of listings, floor price, and average price', ""Scroll through various users to see who's selling for the best price!"", 'The item you list must be:', 'Tradeable', 'A clothing item', 'Not currently available in a secondhand grab or active trade', ""Don't panic! This is essentially the same behavior as when you place an item inside a trade or Secondhand Grab machine. The item will be returned to you if you cancel the listing."", '', 'It is currently not possible to edit an active listing. Instead, you can remove the listing to return the item to your inventory and then list it again at the correct price.', 'Note: If you list an item for an incorrect price and it sells before you can cancel and correct it, there is no way to reverse the trade. So please be cautious when listing your items.', 'Why is there a fee on Market purchases?', '', 'This is done to reduce Gold inflation in the Highrise economy. We want your Gold and items to maintain value over time, and the simplest way to do this is to place a small fee on player-to-player transactions.', '', ""Why do my listings expire?\u200bTo efficiently manage the high volume of Market listings, we've introduced a 30-day expiration policy. After this period, expired listings will be removed from the Market and restored to your account.""]"
What should I do if my items are buggy?	"['', ""Sometimes you may encounter a buggy item - maybe a strand of hair won't change color, or your avatar's clothing clips or layers incorrectly. If you notice an item is buggy or glitched, first delete and reinstall your app to make sure you have the most up-to-date version."", 'To report an item bug or suggest an edit to an item, tap ""Contact Us"" at the top right of this page. You will be connected with our Concierge Desk: please tell the concierge you want to report a buggy item. Our concierge team will ask you a few more questions to help filter your requests.', 'Once you are ready to make your report, please be as descriptive as possible about the issue you are experiencing.', 'List the names of any items affected, and include photos or videos. This really helps us to understand the issue.', ""We will have the team assess the issue and determine if it's something we can fix. Please read the info below about how we determine if we can and should edit items."", '', 'When we get a request to edit an item, we try to determine whether it is an objective bug vs subjective feedback.', 'An objective bug is when an item is significantly broken, flawed or improperly set up. As the item is not functioning as intended, leaving an item in the game in this state lowers the quality of our game.', 'Examples include:', 'Color changing parts not working (skin, hair, eye color)', 'Part of the item or avatar is missing', ""Subjective feedback is a request based on the user's personal preference. The item isn't technically broken or buggy. The item is functioning as intended, but some users might prefer it to be different."", 'Examples include:', 'This item should be blue, not red', 'The position of this item is a little weird', 'When fixing bugs or editing items, we are always trying to improve the quality of our game. We definitely want to fix objective bugs, but subjective feedback is trickier. Sometimes editing an item that has already been released can have unintended effects: it could change the value of the item, affecting the in-game economy. Or, it could confuse and upset players who liked the item the way it was originally. We often have to assess each request on a case by case basis.', 'https://highrise.canny.io/art-item-suggestions', ""If you have a suggestion for an item edit, we encourage you to post it in our Canny under Art and Item Suggestions. We use the Canny to collect feedback from players, to learn how to improve the items we make in the future. In Canny, players can upvote suggestions they like, so it's easy to see what's popular amongst the community. If a post is getting a lot of attention in Canny, we will be sure to keep that suggestion in mind."", '', 'When we get a report of an item bug or a request to change an item, there are a lot of factors to consider when determining how to proceed.', 'Is it objectively buggy, flawed, broken or improperly set up? Does it lower the quality of our game?', ""Can we fix/change this? Sometimes there are objective bugs we don't have the ability to fix with our current system."", 'Will changing it affect the value of the item(s)?', 'Are there other users who would prefer the item not be changed?', 'Is this a user designed item? Is the user who designed this item requesting the change? Did that user have proper opportunity to review the item during the production process or are the requesting a change outside of the allotted feedback opportunity?', 'Each request will have different considerations, and sometimes we try different things. Overall, we are working to create a standardized policy that makes the community happy and helps create a quality game.', '', ""Unfortunately, there are some bugs or glitches with our items that we can't fix with our current system. In these cases, even though we all agree the item is buggy or flawed, we simply have to let it go."", ""Here's some examples of common bugs/glitches that we know about but can't fix:"", 'Gloves are layering on top of the shirt sleeves', 'Pupils are animating outside the bounds of the eye', 'You can still report these issues and we will collect your reports to better understand and prioritize how our system can be improved.']"
What if my phone died or crashed while I was spinning a Grab?	"['My phone died/the app crashed mid-spin! What happened to my item/gold??', '', ""Don't worry! If you were in the middle of a spin when your game crashed, check your inventory. Grabs are paid for and will enter your account even if you close out in the middle of the spin and don’t actually see a complete animation."", '', 'Feel free to contact us in-game and we can tell you which items you received from the spin!']"
Why are my items missing?	"[""Don't worry if you can't seem to find your favorite plushie! When you so thoroughly imbue virtual items with life of their own, it is to be expected that they will occasionally go rogue and simply up and disappear to who knows what god-forsaken place for their occult plushie rituals."", 'A simple restart will bring any missing item home again!', 'Double tap on the home button on your device. Swipe up on the preview for Highrise, and then reload the app. Any missing items should reappear in their respective clothing, furniture or gold bar inventory. \u200b\u200bStill not there?', 'We can help track it down!\u200bIn your support ticket, be sure to include such information as:', 'When you first acquired the item, and from whom', 'When you first noticed it missing', 'Was it ever in your Storefront?', 'Was it ever in trade?', 'With whom were you trading, and when?', ""What's its favorite bedtime snack?"", 'Were you wearing it during an update?', 'And any other information which may be useful! If you notice it disappeared after you equipped a new grab item, for example, we may be able to trace whatever bug caused it to vanish.']"
Account Frozen for Being Underage	"['Has your account been frozen? Check here for appeal steps', ""The minimum age to be a member of Highrise is 13. If our system suspects that you are under the age of 13 or have an incorrect date of birth, it may freeze your account.\u200bTo make this process quick and secure for our community, we've teamed up with Persona for verification. This allows you to verify your age inside the Highrise app. \u200b"", '', ""Here's how to verify your age:\u200b1) Log into your Highrise account."", ""2) Tap 'Verify My Age'."", ""3) Select your language at the bottom left, then tap 'Begin Verifying'."", '4) Enter your Highrise username.', '5) Select your country and identification type.', '6) Follow the instructions to capture or upload your ID.7) You will receive a message letting you know if it was accepted.', '', 'If your verification is accepted, you will be able to log back into your Highrise account right away. Your date of birth will be automatically updated if it does not match the one you originally registered with.', '']"
Can I Delete My Account?	"['Do you want to delete your account? We hate to see you go, but click here to find out how!', 'To permanently delete your Highrise account, follow these steps:', 'Have the latest app version installed', 'Open your profile and tap the gear icon', ""Select 'Account Management'"", ""Select 'Delete Your Account'"", ""Tap the 'Enter Credentials To Begin' button"", 'Enter your Safety Lock (if enabled) and password', ""Tap the 'Begin Account Deletion' button"", ""You'll have 24 hours to cancel the request if you change your mind. After that, your account will be deactivated and all data will be permanently deleted after 30 days.\u200b"", 'If your account has been deactivated and you would like to cancel the deletion, please contact our support team before the 30 days of your deletion request.', 'Warning: Once your Highrise account is deleted, this cannot be undone! Your account and all of its data will be removed.']"
What is Safety Lock?	"['Want to secure your account even further? No worries, we got you covered! Safety Lock is a feature that gives you an additional layer of security beyond your username and password.', '', 'Safety lock allows you to set a 6-digit PIN on your account that prevents anyone who logs into your account on a different device from accessing specific features until they input your 6-digit PIN correctly. The features that are blocked off until your PIN is entered are:', 'Trading', 'Changing your email address', 'Changing your password', 'Connecting accounts (such as Google, Snapchat, etc.)', 'Adding items to a Secondhand Grab machine', 'Changing your username', 'You can access the safety lock and set up your 6-digit PIN via your account’s settings page. Simply tap on the safety lock and enable it, and you’ll then be prompted to select a 6-digit PIN. Please see the images below if you’re having trouble:', '', 'Nope! It’s an optional feature, but more security never hurts, right?', '', 'Yup! A registered email address is required. Please make sure you use a secure email that you have access to, as you’ll be resetting your PIN via this email if you ever forget it.', '', ""Ah, forgetful, are we? That’s fine, we planned for this. In your settings, on the Safety Lock page, just simply choose the ‘forgot pin’ option. Once that option is selected we'll go ahead and send you a pin reset link to your registered email address."", '', 'Nope, your 6-digit PIN is encrypted. Our support team can’t see, hear, touch, or smell it. Bummer!', '', 'If you choose not to activate our Safety Lock feature and your account is compromised, we can assist you in recovering your account, but any items lost cannot be returned.']"
Staying safe on Highrise	"['At Highrise, our number one goal is for players to connect from around the world and come together to have fun in a safe and welcoming environment. To ensure the safety of our players, we have a host of tools players can use (and some working in the background) to keep them safe from bad actors. This guide will go through those tools and offer some general tips so that you can keep yourself as safe as possible while playing.', '', 'The suggested age to play Highrise is 17+, with the minimum being 13. We’ve chosen this recommended age because many of our players tend to be on the older side and may discuss topics or use language not suitable for young children. Please note that regardless of your age, sexual content is not allowed on Highrise.', 'If we have reasons to believe a player might be younger than 13 years of age, and they are not able to provide proof of their age, they will be removed from the app.', '', 'When chatting with other players, it’s impossible to know who they really are or their true intentions, so please do not share your personal information with anyone for any reason. Things you should never share are your home address, phone number, real name, links to your social media, etc.', 'Never share your account details with any other players for any reason. Even if they promise things like ‘free gold’ in return, these are tactics players will use to get onto your account and steal your items.', 'If a player sends you a link to any off-app website or form asking you to input your Highrise details, please do not follow the link as it may be malicious. Instead, report & block that player. These links are a common tactic known as phishing, and that player is attempting to gain access to your account to steal your items, or worse, install malicious software on your device.', 'For reference, Highrise staff will NEVER ask for your password or safety lock pin.', '', 'Here are some tips on keeping your account information safe:', '1. Set an email address for your account that has not been involved in any database leaks. You can check if your account has even been breached here: https://haveibeenpwned.com/', '2. Set up 2-factor authentication (2FA) if available on this email. This ensures no one can gain access to this email address and reset your password. For example, here is Gmail’s guide for enabling 2FA: https://support.google.com/accounts/answer/185839?', ""3. Use a secure password - Do not set a password that is easy to guess or that you've used on other applications. Set something unique with at least 8 characters. Make sure to include punctuation and random characters (@,!,&); doing this makes it nearly impossible for a player to guess your password.  You can even use an application that can generate and store extremely secure passwords for you, and the best part is it's free - https://www.lastpass.com/"", '4. Enable our Safety Lock feature to prevent players who access your account from removing any items without knowing your pin.', '', 'If, for any reason, you no longer want a player to be able to contact you or interact with you in any way, you can block them using our block feature. Blocking a player will prevent them from messaging you, visiting your feed, tagging you in posts, and visiting your room.  You can block a player by visiting their profile, clicking the ellipses (three dots) in the top right corner, and then clicking the ‘Block player’ option.', 'If any player is violating our guidelines, you can report them to us, and our team will review your report and take appropriate action against that player. You can report a player by visiting their profile, clicking the ellipses (three dots) in the top right corner, clicking the ‘report’ option, and then choosing the report reason. To report a player in a room without visiting their profile, you can click their avatar icon in the chatbox, then the flag in the top right corner of their mini profile view.', '', 'The general rule is once something has been uploaded to the internet, it is there forever. Please keep this in mind when deciding what to upload to your feed. Players can repost your photos and videos, take screenshots, download them, etc. So make sure you’re okay with this before hitting the post button.', '', ' Age Restrictions: Players are asked for their date of birth when they sign up. You must be 13 or older to play Highrise. Accounts from players younger than 18 years old have certain restrictions and are subject to more strict moderation to ensure their safety. When we identify a player that could be underage, or they are reported to us by other players, we investigate and have the option to remove them.', '', ' Community Guidelines: We have rules in place to keep Highrise safe. Everyone receives a link to our Community Guidelines when they join Highrise. If they break any of these rules, we take action. We want to engage and educate players, so the first step is often a warning message about their behavior. If they continue misbehaving, we may permanently suspend their account.', '', ' Technical Tools & Moderation: We use human moderators and an AI-powered moderation platform to detect content that may break our Community Guidelines. This includes:', 'Detecting underage players.', 'Filtering out inappropriate chat messages.', 'Filtering out inappropriate posts and photos.', 'Flagging bad actors for investigation.', 'We’re working hard to improve our technical tools and moderation techniques all the time.', '', ' Blocking & Reporting: We have a simple and effective report feature in the app (just tap on the flag icon!). We encourage our players to report suspicious activity and inappropriate behavior to us. This includes:', 'Sexually explicit and violent content.', 'Bullying and harassment.', 'Minor safety concerns.', 'Illegal activities.', 'Fraud and scams.', 'Fake profiles.', 'We prioritize reports of urgent threats and emergencies and pass the details to the relevant authorities when necessary. We also provide helpline contact details to our players.', '', ' Childnet', 'http://www.childnet.com/young-people', ' Internet Watch Foundation', 'http://www.iwf.org.uk', ' NSPCC', 'http://www .nspcc.org.uk', ' Thinkuknow', 'http://www.thinkuknow.co.uk', ' UK Safer Internet Centre', 'http://www.saferinternet.org.uk', ' Kids Helpline', 'http://https://kidshelpline.com.au/', ' Netsafe', 'http://www.netsafe.org.nz/', ' Office of the eSafety Commissioner', 'http://www.esafety.gov.au/esafety-information', ' Canada Safety Council', 'http://canadasafetycouncil.org/child-safety/online-safety-rules-kids', ' Better Internet for Kids', 'http://www.betterinternetforkids.eu/', ' Get Cyber Safe', 'http://www.getcybersafe.gc.ca/cnt/cbrbllng/tns/index-en.aspx']"
Can I sell, buy, or give away a Highrise account?	"[""We do not allow account sales, purchases, or giveaways in any way, shape, or form. You may not advertise account sales, account purchases, or account giveaways on Highrise and if this action is reported to us and confirmed then action may be taken against your account. So please, don't do it!\u200bIf you decide to sell, buy, or receive an account for free despite our guidelines prohibiting this then our concierge staff cannot offer you any support if the buyer does not honor your agreement or the account is recovered from you by the original creator.""]"
How do I change my username?	"['Players can change their username by visiting their account\'s settings page and selecting the ""Username"" option under account management. Please see the image below if you are having trouble locating this option.', '', 'When a player changes their username, this changes their username everywhere on the application. The username that you use to log in is also changed to your newly set username.', '', 'All players receive one name change for free but all name changes after that will cost 10,000 gold.', '', 'After any name change, players receive a 14-day period where they can revert to their original username for free. During that 14-day window, their original username is reserved which will prevent other players from taking it. However, if these 14-days lapse then players will have to pay 10,000 coins if they wish to change their username back. Please note though that the username may be taken by other players once the 14 day period passes so it may no longer be available.', '', 'Players can only change their username to a username that is available. So if the username you are seeking is already taken by another user you will not be able to choose it. On top of this, the standard username rules apply.', '', 'Players cannot take over inactive usernames, sorry. If a player has a username set then that username cannot be used by anyone else even if that player has not been active for a while.']"
How do I register my email address?	"['Make sure you never get locked out of your account again!', 'Navigate to the settings page on your Highrise account by tapping on the Cogwheel icon in the upper right corner while viewing your profile page.', 'On your settings page choose ‘Account Management’', 'Then click on the ‘Email’ option', 'Input the email you want to be attached to your account. Please also make sure this is an email address that you have access to.', 'This is the email address we\'ll email if ever you forget your password and click on the ""Forgot Password"" button on the login page.', ""And no, we won't send you any fun daily newsletters or offers. No spam, we promise.""]"
How do I connect my Highrise account to my Facebook, Google, or Snapchat account?	"['Learn how to easily link or disconnect your Facebook, Google, and Snapchat accounts to Highrise for seamless login and friend visibility.', 'Linking your Facebook, Google, and Snapchat accounts to Highrise is simple. Once connected, you can use these accounts to log in to your Highrise account.', 'Go to Your Profile: Tap the profile icon located at the bottom right of your screen.', 'Access Settings: In your profile, tap the cogwheel icon at the top right of your screen.', ""Find Connected Accounts: On the settings page, select the 'Connected Accounts' option."", 'Choose Accounts to Link: Select the accounts you want to link and follow the on-screen instructions.', 'Once completed, your accounts are linked, and you can use them to log in to Highrise.', ""If you wish to disconnect an account, follow the same steps as above, but instead of linking, select the connected account. You will then see an option to 'disconnect' the account."", ""When you link your Facebook account to Highrise, you'll be able to see the Facebook names of friends who also have a Highrise account. Only the names of your Facebook friends who are also on Highrise will be displayed.""]"
How do I deal with scammers and hackers?	"['Be wary of scammers! They come in all shapes and sizes.', 'Don’t let anyone borrow your items; oftentimes, they won’t give it back, no matter how ardently they swear they will. We don’t have any way of verifying that an item was meant to be returned, or recovering borrowed items. All trades are final. If you do want to keep your item… Hold on to it!', 'If someone is offering free gold or items, don’t fall for it! This is an easy and terribly common way for people to gain access to your account. Sometimes, you may be sent to webpages advertising-free gold, and which ask for your username, password, and email address. Invariably, this information will be used to enter your account and trade out all your hard-earned clothes and gold.', 'Never never give out your password! Keep your account safe by registering a long, complex password unique to your Highrise account.', 'The only currency to be used in Highrise is gold: this means no cash. If you sell for IRL money, or advertise your kik or Paypal on your profile for the purposes of selling Highrise items or gold then your account may be subject to a suspension. Just keep your transactions limited to virtual currency and in-app channels to avoid a ban!', 'If you see someone advertising free gold or selling for cash, report them! Head to their profile page and tap the ellipses in the upper right to report.', ""Also, bear in mind that if you log into someone's account by tricking them or cracking their password, you are subject to a ban; so just don't do it. Be nice.""]"
What if I forgot my password?	"['No worries! Resetting is easy.', '', 'First, register a proper email address to your account. Head to Settings (by clicking the three dots in the upper right-hand corner on your profile page ) and confirm that the email registered to your account is one that you have access to.', 'Log out of your account. I know, this part is scary!', 'Hit the ""Forgot Password"" button on the login page to receive an email with a link to a full password reset page.', 'Just follow the link, and type in your new password! You should then be able to log back in using your newly set password.', ""Remember that you can reset your password anything on your Highrise Settings page. It's a good idea to keep your passwords long, complex, and different from your other passwords!"", ""Forgot your password, but not receiving a link? This may mean that you've never registered an email or you have lost access to your registered email account.\u200bNo worries though, our concierge team can help! Just send us an email to [email\xa0protected] with your recovery request. Please keep in mind that only the original creator of an account can recover it. When you write in you'll be asked to answer a few security questions, and once we confirm them we'll send you a new password.""]"
User Design Contest Feature (UDC)	"['User Design Contest (UDC) is a feature that allows players to submit their own item designs for various art competitions here at Highrise. Winning designs will be turned into real items by the art team.', '', 'All the contests! Here’s a quick refresher on the different types of art and design contests we run.', 'Grab Design Contests: players make a full grab of 12-15 unique items. Graabs are released in major events, and winners will receive the full grab (with their name credited!) alongside a gold prize.', 'Mini Design Contests: players design items or accessories for a grab or shop collection, and also receive name credit, gold, and the items themselves.', 'Art Design Contests: make a card, item, or decoration and have your work added directly to the game!', 'Remember! All contests have a cooldown period which will preclude a winner’s eligibility for that contest type for one contest cycle. For example, if you win a Grab Contest, you won’t be able to enter the next Grab Contest, but you can still enter a Mini Design or Art Design Contest.', '', 'The UDC system is accessible on web (joinhighrise.com) while a contest is running. Each time a contest starts, Highrise EN will make an announcement post with the contest dates and a link to the submission tool.', '', 'Inside the web menu, you’ll see a set of contest stages running from:', ' SUBMISSION', ' VOTING', ' WAITING FOR RESULTS', ' FINAL VOTE', ' WINNERS ANNOUNCED', 'SUBMISSION Stage: This is the only period at which you can - you know - submit your entry. The Browse tab will be empty at this stage, so you won’t be able to view other user’s entries or cast any votes. Tab over to My Submissions to see your entries, and long press on a submission to pull up the Action Menu.', 'VOTING Stage: During this phase, you can start browsing through all contest entries; these are anonymous and randomized for each person. You’ll be given a limited number of votes that you can use to boost your favorite designs. Votes cannot be withdrawn once cast, so choose carefully!', 'WAITING FOR RESULTS Stage: Highrise Staff will review and assemble the top-voted entries into a list of finalists. Hang tight - we’ll notify you when this stage is over!', 'FINAL VOTE Stage: Cast your ballot for the top entry! Navigate through the Browse feature to pick your favorite entry from among the finalists. You’ll only have one vote, and you won’t be able to take it back once cast, so choose carefully!', 'WINNERS ANNOUNCED Stage:  Check back in to view the contest winners and runner ups! At this point, no other entries will be visible, but you can still view your own designs by tabbing back to My Submissions.', 'If entries are anonymous, can I still add my name to my submission?', 'Yes! You may watermark your design with your name or logo. Sharing your design on your profile via a newsfeed post is also allowed, so feel free to chat about your entries. However, remember that offering Gold or other incentives to the community to vote on your entry is not allowed, and will get you disqualified.', 'I want to delete my entry! How!?', '', 'While you’re in the UDC web tool, tab over to “My Submissions.” Long press on the entry you want to delete to pull up the action menu.', 'I accidentally voted for an entry I totally hate. Can I take my vote back?', 'Nope! Sorry about that pal, but all votes are final. Choose carefully!', ""I'm getting a weird error message when I try to submit!"", ""Make sure your image dimensions don't exceed 1080x1080! You won't be able to submit your entry if your images are too big, so get them down to size to enter the contest."", '', '', '', '']"
"What Are""Inspired By"" Item Attributions?"	['Highrise is a talented and creative community. We love to collaborate with players to design items for our world, and we’ll always attribute player-inspired items to their designer. There are two ways that we find and feature players’ creations.', '', '1. Design Contest Winners', 'We frequently host official design competitions; you can learn more in the FAQ under “Highrise Competitions and Rules.” When a player wins a design competition and we make their items in the game, we’ll make an attribution note on the bottom of the item preview. This note will say “Inspired by” with a link to the designer’s username. If an item you designed is missing attribution, reach out to our Concierge team to update it. Please include the contest and event the item is from and whether it was released in a grab, shop collection, or event rewards.', '2. Other player-inspired items', 'Sometimes we discover an outstanding player-designed item outside of a competition. It might be a random drawing, or a competition entry didn’t make it into a grab. If we decide to add one of these items to the game, we’ll reach out to notify the player directly, and they’ll receive compensation when the item is released. These items will also get a note of attribution at the bottom of the item preview.', '', 'What to do if you think Highrise used a design without crediting the player', 'An item will only have an attribution note if it was designed or inspired by a player; all other items are designed by artists on our staff. It’s not unusual for our art team and our players to find inspiration in similar trends and create similar designs independently by complete coincidence- this phenomenon is sometimes called parallel thinking. Most of the time, our staff isn’t aware of players’ designs when developing items, and draw inspiration from and reference sources outside of the app such as fashion retailers, photos and illustrations on Pinterest and Instagram, Google image search, and even real life. In this case, a player who designs a similar item isn’t entitled to any type of compensation or attribution.', '', 'If you find an item in the game appears to be directly inspired by a player but doesn’t have proper attribution, please contact our Concierge team! Our Concierge team and staff artists will review these reports and determine if attribution is due or if it’s an instance of parallel thinking. Our staff respects the creative community of Highrise, and will always give credit where it is due.']
What room and building competitions does Highrise host?	['#ROTD', 'What is it?', '#ROTD, an abbreviation of “room of the day” is a community event where a room is picked to be chosen to host daily goals for that day! To which the whole community can visit and admire your work! In addition to having your room featured, you will also be given a shout out and a custom image for your room thumbnail! If your room is selected for #ROTD, you’ll also be entered into #ROTW!', 'How to enter: Simply add #ROTD to the captions of your room posts!', 'Rules: When a room is chosen for #ROTD, the capacity will increase to 30 players, and with such a large number of players in one single room, #ROTD’s must be large enough to cater to that!', 'What is it?', '#ROTW, an abbreviation of “room of the week” where rooms of the day of each week will be put into a community vote where players can select their favourite room! If you’re lucky enough to win, you can earn some exclusive items!', 'How to enter: When a room is chosen for #ROTD, rooms will automatically be entered into #ROTW!', 'Rules: You can mention to players to vote for your room, however, bribing players to vote in return for something is not permitted and will disqualify you from the vote.', '1ST win - #ROTW Hoodie! 2ND win - #ROTW Workbench! 3RD+ win - 5,000 Gold!', '\u200b\u200b', '#OOTD, an abbreviation of “outfit of the day” a community hashtag used to show off our players latest looks, we also shoutout those that stand out! Get styling, you may get noticed!', 'How to enter: Simply add #OOTD to the captions of your outfit posts!', 'Rules: No rules, be creative! Editing your looks are welcome!']
What is the current avatar layering guide?	['']
Mini Design Contests	"['We love seeing your ideas come to life in events, so why not share the love even more with Mini Design Contests? These competitions are a separate category from Grab Design Contests - check the FAQ for more information on those.', 'Items designed for Mini Design Contests are typically featured in Item Collections and other shop pages. Winners always receive the items they designed that made it into the game for free!', 'Here are some rules and guidelines to help clarify some of the most common questions we have about Grab Design Contests. Please note that this applies primarily to mini contests and some guidelines may differ for our grab contests.', '', 'All entries must be your original creation.', 'You may incorporate art assets from Highrise or other sources to help express your idea, however, you must significantly change or add to it in order to make it your own unique design. Entering images directly from other games, avatar creator apps, art sites, Instagram, etc. is not allowed.', 'Designs depicting copyrighted characters or other IPs will be disqualified.', 'Unless specifically stated as a collaboration, you may not enter artwork created by other members. Commissioned designs will be disqualified.', 'Mini Design Contests may call for entries to include anywhere from 1-10 unique items, depending on the contest. If a contest calls for a range of items, you can choose the number of items you’d like to submit, and you may also enter up to 2 separate, unique submissions. However, only one of your designs may become a finalist.', 'All avatar items must be clearly visible in your entry. Items that are unclear or obscured may be modified or left out of the final lineup.', 'Final entries must be submitted through the User Design Contest feature, available through a bot in the Welcome Plaza', 'All designs must follow the Highrise code of conduct and community guidelines. Offensive or exclusionary content won’t be considered - we want to highlight entries that reflect the values of our community', 'All submissions will be regarded as User-Generated Content as defined in the Pocket Worlds Terms of Service. By submitting a design, you acknowledge Highrise will own the rights to the finished items, and that your compensation will take the form of free items and/or gold.', 'After the contest deadline has passed, Highrise staff will review all contest entries under the contest hashtag and select a number of finalists. Finalist selection is based on a combination of factors. This can include:', 'Visual appeal', 'Uniqueness of design', 'Interpretation of theme', 'Feasibility (Can Highrise actually make your items work in-game within our current technical constraints?)', 'Community interest', ""As of March 2021, judging takes into consideration an entry's popularity within the community, including number of likes and comments."", 'We don’t allow consecutive wins in any art design contest. If you have been selected as a winner in a Mini Design Contest, you are not eligible to be selected as a winner in the next Mini Design Contest.', 'Winners who enter the following contest under an alternate account will be disqualified.', 'Collaborations that include a finalist from the previous contest are only eligible for a shoutout spot.', 'Winners are announced 1-2 days after the contest deadline.', '', 'Bragging rights, of course! Just kidding, you get more than street cred for winning a Mini Contest.', 'Winning creators will receive a gold prize and the items inspired by their design.', 'Sometimes we’ll also highlight some designers as Runners-Up or Shoutouts who will receive a gold prize.', 'If you are part of a collaboration, we’ll divide the spoils equally amongst you and your partner.', 'Congrats! Now your design will be used by our Art Team as inspiration for real in-game items ', 'Once winners have been announced, please email us by going to Profile > Settings > FAQ > Contact Us in top-right corner > Community Requests.  Open a new message and include HD images of your design and any close-ups or detail views, along with any additional notes or instructions for our staff artists.', 'For winning designs, include a full list of items. It helps us a lot when items are clearly labeled.', ""When your items release, you'll them along with your gold prize in form of gift boxes under the Gifts section of your Inbox. Enjoy!"", '', 'DO:', 'Make your entire design cohesive. It helps when everything in your design makes sense with the theme and fits together well. There are many ways to achieve this, such as using a particular color palette or specific design elements throughout the design, having a strong central concept/story/aesthetic/mood, etc. If something seems out of place, it might be better to change it or leave it out.', 'Create a variety of masculine, feminine, and gender-neutral items. We’re always looking to spice up our inventories with items inspired by diverse sources, so push your creativity!', 'Present your design clearly and neatly. To keep the contest hashtag free of clutter and easy to navigate, please post your entry as a multi-image post. The first image of your post must show your full design. Include close-ups and detail views in the rest of your post instead of making separate posts. If something is covered up in your design, include a detail view of it by itself so we can see the whole item.', 'Pay attention to how items usually work on the avatar. There are technical limitations that affect the way items layer and animate in our system. Designs that will not work well with our system will need to be modified or combined, which may affect your item count. Refer to the Current Avatar Item Layering Guide in the FAQ for more info.', 'Include a few different items!', 'Untag any old versions of your entry. We just want to see your most beautiful and polished final design on the contest hashtag page.', ""Be supportive of everyone participating! Be kind and thoughtful when giving or receiving feedback, and congratulate each others' successes."", 'DO NOT:', ""Use the UDC to submit posts that are NOT your final entry. Don't tag your sneak peeks, WIPs, close-ups, and other non-final entry posts with the contest hashtag. This clutters up the Browse page and makes it difficult for us to find your actual final entries. If you would like to show close-ups and detail shots, please include them as part of your main entry post."", 'Change or add to your design after the entry submission has closed. Any additional artwork submitted afterward will not be considered.', 'Encourage other people to repost your design to show support. This makes it harder to find your original post, as well as cluttering up the UDC Browse page.', 'Host giveaways in exchange for likes/comments/reposts on your entry. People should be voting on your entry because they enjoy your design, not because they might win something from you. Members who host giveaways in exchange for votes will be disqualified from the contest.', 'Remake existing items, especially ones that are valuable or high rarity.', 'Resubmit entries from past contests. Think of each contest as an opportunity to practice and improve your design skills. While resubmitted designs are allowed, these designs have a much lower chance of being selected.']"
